document_id,term,term_type,frequency,frequency_score,first_position,last_position,distance_from_start,distance_from_end,earliness_score,persistence_score,relevance_score,extended_relevance_score,relevance_class,document_frequency,idf,phrase_boost,concept_weight
L0 Introduction,tree,unigram,1,0.111111,0.719298,0.719298,0.719298,0.280702,0.280702,0.0,0.195906,0.128655,medium,7,1.7537718023763802,1.0,0.22563151123473318
L0 Introduction,usage,unigram,1,0.111111,0.54386,0.54386,0.54386,0.45614,0.45614,0.0,0.283626,0.181287,medium,4,2.2237754316221157,1.0,0.40314157667247846
L0 Introduction,word2vec,unigram,1,0.111111,0.45614,0.45614,0.45614,0.54386,0.54386,0.0,0.327485,0.207602,medium,4,2.2237754316221157,1.0,0.4616602271556145
L1,add,unigram,2,0.05,0.62268,0.76701,0.62268,0.23299,0.37732,0.14433,0.21366,0.176495,medium,12,1.2682639865946794,1.0,0.22384225231402796
L1,alignment,unigram,13,0.325,0.059794,0.993814,0.059794,0.006186,0.940206,0.934021,0.632603,0.692268,top,2,2.734601055388106,1.0,1.8930768034114134
L1,announce,unigram,2,0.05,0.251546,0.265979,0.251546,0.734021,0.748454,0.014433,0.399227,0.248866,medium,2,2.734601055388106,1.0,0.6805492262502164
L1,appoint,unigram,2,0.05,0.224742,0.235052,0.224742,0.764948,0.775258,0.010309,0.412629,0.25567,medium,2,2.734601055388106,1.0,0.6991554518310771
L1,base,unigram,1,0.025,0.63299,0.63299,0.63299,0.36701,0.36701,0.0,0.196005,0.120103,medium,5,2.041453874828161,1.0,0.24518473472848665
L1,basis,unigram,1,0.025,0.162887,0.162887,0.162887,0.837113,0.837113,0.0,0.431057,0.261134,medium,5,2.041453874828161,1.0,0.533093016149377
L1,biology,unigram,3,0.075,0.051546,0.783505,0.051546,0.216495,0.948454,0.731959,0.511727,0.534124,top,2,2.734601055388106,1.0,1.460616054108117
L1,cell,unigram,1,0.025,0.589691,0.589691,0.589691,0.410309,0.410309,0.0,0.217655,0.133093,medium,4,2.2237754316221157,1.0,0.2959689435208822
L1,certain,unigram,1,0.025,0.785567,0.785567,0.785567,0.214433,0.214433,0.0,0.119716,0.07433,medium,6,1.8873031950009027,1.0,0.1402832464844171
L1,character,unigram,3,0.075,0.402062,0.57732,0.402062,0.42268,0.597938,0.175258,0.336469,0.261959,medium,3,2.4469189829363254,1.0,0.6409924498510169
L1,close,unigram,1,0.025,0.039175,0.039175,0.039175,0.960825,0.960825,0.0,0.492912,0.298247,medium,7,1.7537718023763802,1.0,0.5230571787433482
L1,combination,unigram,1,0.025,0.909278,0.909278,0.909278,0.090722,0.090722,0.0,0.057861,0.037216,bottom,4,2.2237754316221157,1.0,0.08276002646324865
L1,combine,unigram,1,0.025,0.461856,0.461856,0.461856,0.538144,0.538144,0.0,0.281572,0.171443,medium,4,2.2237754316221157,1.0,0.3812507313235904
L1,come,unigram,2,0.05,0.593814,0.843299,0.593814,0.156701,0.406186,0.249485,0.228093,0.216701,medium,9,1.5306282510621703,1.0,0.3316886726334234
L1,compose,unigram,1,0.025,0.707216,0.707216,0.707216,0.292784,0.292784,0.0,0.158892,0.097835,medium,3,2.4469189829363254,1.0,0.2393943186955754
L1,computation,unigram,2,0.05,0.45567,0.771134,0.45567,0.228866,0.54433,0.315464,0.297165,0.277938,medium,2,2.734601055388106,1.0,0.7600495481324595
L1,computational,unigram,2,0.05,0.049485,0.154639,0.049485,0.845361,0.950515,0.105155,0.500258,0.336701,top,7,1.7537718023763802,1.0,0.5904967196319295
L1,compute,unigram,4,0.1,0.465979,0.478351,0.465979,0.521649,0.534021,0.012371,0.31701,0.203918,medium,10,1.4353180712578455,1.0,0.29268719045475733
L1,computing,unigram,5,0.125,0.430928,0.742268,0.430928,0.257732,0.569072,0.31134,0.347036,0.314124,medium,6,1.8873031950009027,1.0,0.5928472288264636
L1,condition,unigram,1,0.025,0.635052,0.635052,0.635052,0.364948,0.364948,0.0,0.194974,0.119485,medium,5,2.041453874828161,1.0,0.24392311623384283
L1,confusion,unigram,1,0.025,0.795876,0.795876,0.795876,0.204124,0.204124,0.0,0.114562,0.071237,medium,3,2.4469189829363254,1.0,0.174311167587435
L1,coreference,unigram,1,0.025,0.245361,0.245361,0.245361,0.754639,0.754639,0.0,0.38982,0.236392,medium,2,2.734601055388106,1.0,0.6464378126853052
L1,correction,unigram,2,0.05,0.030928,0.775258,0.030928,0.224742,0.969072,0.74433,0.509536,0.534021,top,2,2.734601055388106,1.0,1.4603343901994117
L1,correspond,unigram,1,0.025,0.696907,0.696907,0.696907,0.303093,0.303093,0.0,0.164046,0.100928,medium,5,2.041453874828161,1.0,0.20603985667865665
L1,cost,unigram,3,0.075,0.140206,0.325773,0.140206,0.674227,0.859794,0.185567,0.467397,0.343608,medium,4,2.2237754316221157,1.0,0.764107028508812
L1,cristani,unigram,1,0.025,0.008247,0.008247,0.008247,0.991753,0.991753,0.0,0.508376,0.307526,top,9,1.5306282510621703,1.0,0.470707983536145
L1,decide,unigram,1,0.025,0.868041,0.868041,0.868041,0.131959,0.131959,0.0,0.078479,0.049588,medium,3,2.4469189829363254,1.0,0.1213378185258465
L1,define,unigram,3,0.075,0.375258,0.482474,0.375258,0.517526,0.624742,0.107216,0.349871,0.249588,medium,9,1.5306282510621703,1.0,0.38202644392610496
L1,definition,unigram,2,0.05,0.016495,0.416495,0.016495,0.583505,0.983505,0.4,0.516753,0.435052,top,7,1.7537718023763802,1.0,0.762981930167449
L1,delete,unigram,1,0.025,0.31134,0.31134,0.31134,0.68866,0.68866,0.0,0.35683,0.216598,medium,2,2.734601055388106,1.0,0.592309119394953
L1,distance,unigram,40,1.0,0.014433,0.950515,0.014433,0.049485,0.985567,0.936082,0.992784,0.976495,top,8,1.6359887667199966,1.0,1.597534850758243
L1,distinct,unigram,1,0.025,0.356701,0.356701,0.356701,0.643299,0.643299,0.0,0.334149,0.20299,medium,4,2.2237754316221157,1.0,0.45140417486497325
L1,dynamic,unigram,7,0.175,0.439175,0.919588,0.439175,0.080412,0.560825,0.480412,0.367912,0.382371,medium,2,2.734601055388106,1.0,1.0456321401498057
L1,edit,unigram,38,0.95,0.012371,0.948454,0.012371,0.051546,0.987629,0.936082,0.968814,0.957113,top,2,2.734601055388106,1.0,2.6173222199256765
L1,end,unigram,1,0.025,0.597938,0.597938,0.597938,0.402062,0.402062,0.0,0.213531,0.130619,medium,10,1.4353180712578455,1.0,0.18747981114962853
L1,enter,unigram,1,0.025,0.587629,0.587629,0.587629,0.412371,0.412371,0.0,0.218686,0.133711,medium,4,2.2237754316221157,1.0,0.2973432367376247
L1,entity,unigram,2,0.05,0.239175,0.243299,0.239175,0.756701,0.760825,0.004124,0.405412,0.249485,medium,8,1.6359887667199966,1.0,0.40815465746513835
L1,error,unigram,1,0.025,0.802062,0.802062,0.802062,0.197938,0.197938,0.0,0.111469,0.069381,medium,6,1.8873031950009027,1.0,0.13094298297235762
L1,evaluating,unigram,1,0.025,0.204124,0.204124,0.204124,0.795876,0.795876,0.0,0.410438,0.248763,medium,3,2.4469189829363254,1.0,0.6087029069521891
L1,extraction,unigram,2,0.05,0.068041,0.241237,0.068041,0.758763,0.931959,0.173196,0.490979,0.351546,medium,8,1.6359887667199966,1.0,0.5751253069853479
L1,eye,unigram,1,0.025,0.931959,0.931959,0.931959,0.068041,0.068041,0.0,0.046521,0.030412,bottom,3,2.4469189829363254,1.0,0.07441570010905953
L1,fear,unigram,1,0.025,0.859794,0.859794,0.859794,0.140206,0.140206,0.0,0.082603,0.052062,medium,2,2.734601055388106,1.0,0.14236880014561556
L1,final,unigram,1,0.025,0.294845,0.294845,0.294845,0.705155,0.705155,0.0,0.365077,0.221546,medium,8,1.6359887667199966,1.0,0.36244676731174835
L1,find,unigram,1,0.025,0.274227,0.274227,0.274227,0.725773,0.725773,0.0,0.375387,0.227732,medium,11,1.3483066942682158,1.0,0.3070525800990893
L1,gap,unigram,1,0.025,0.17732,0.17732,0.17732,0.82268,0.82268,0.0,0.42384,0.256804,medium,3,2.4469189829363254,1.0,0.62837858249398
L1,giraffe,unigram,1,0.025,0.047423,0.047423,0.047423,0.952577,0.952577,0.0,0.488789,0.295773,medium,2,2.734601055388106,1.0,0.8088211579553063
L1,give,unigram,2,0.05,0.158763,0.16701,0.158763,0.83299,0.841237,0.008247,0.445619,0.274845,medium,13,1.1941560144409573,1.0,0.3282078097890249
L1,goal,unigram,1,0.025,0.315464,0.315464,0.315464,0.684536,0.684536,0.0,0.354768,0.215361,medium,6,1.8873031950009027,1.0,0.40645150337858943
L1,huge,unigram,1,0.025,0.348454,0.348454,0.348454,0.651546,0.651546,0.0,0.338273,0.205464,medium,5,2.041453874828161,1.0,0.41944527893769334
L1,ibm,unigram,2,0.05,0.247423,0.253608,0.247423,0.746392,0.752577,0.006186,0.401289,0.247629,medium,2,2.734601055388106,1.0,0.6771665247447013
L1,idea,unigram,1,0.025,0.876289,0.876289,0.876289,0.123711,0.123711,0.0,0.074356,0.047113,bottom,10,1.4353180712578455,1.0,0.06762214029117088
L1,inc.,unigram,1,0.025,0.249485,0.249485,0.249485,0.750515,0.750515,0.0,0.387758,0.235155,medium,3,2.4469189829363254,1.0,0.5754052334323916
